Period,1-Nov, 2019 -> November 30,2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,South of Vernon,Trail North of Sugar Creek,Robinson at Monroe,Trail West of Hershey,West of Grandview,Shirley,East of Shelbourne,Washington West of Vale Eastbound,Washington West of Vale Westbound,South Side Counter,South of Raab,YAI18086290,West Side Counter,Washington East of Rust Westbound,Washington East of Rust Eastbound,Grove-West of Vale (EB),Grove-West of Vale (WB),East Side Counter,Heartland CC
2/21/2020 0:00,227,252,,3958,139,3558,5,,,2,,,10,,,,,593,4
2/22/2020 0:00,651,714,,3513,510,1199,8,,,25,,,41,,,,,87,14
2/23/2020 0:00,1009,1091,,3158,773,4226,15,,,48,,,111,,,,,154,16
2/24/2020 0:00,131,126,,654,116,0,1,,,0,,,8,,,,,67,10
2/25/2020 0:00,113,106,,620,63,0,0,,,1,,,4,,,,,111,13
2/26/2020 0:00,124,80,,1028,62,0,0,,,4,,,3,,,,,62,23
2/27/2020 0:00,232,167,,3412,142,235,0,,,1,,,22,,,,,97,8
2/28/2020 0:00,174,229,,2038,112,0,0,,,3,,,10,,,,,87,5
2/29/2020 0:00,409,559,,3886,400,644,1,,,21,,,9,,,,,94,6
3/1/2020 0:00,1257,1378,,3619,925,147,17,,,46,,,83,,,,,85,46
3/2/2020 0:00,474,457,,2886,297,10,3,,,14,,,33,,,,,43,21
3/3/2020 0:00,547,536,,3707,323,28,0,,,15,,,21,,,,,121,15
3/4/2020 0:00,541,503,,4120,333,13,3,,,19,,,36,,,,,45,17
3/5/2020 0:00,516,397,,3518,347,3,0,,,8,,,21,,,,,56,20
3/6/2020 0:00,282,214,,2931,202,10,0,,,18,,,24,,,,,42,13
3/7/2020 0:00,687,714,,3399,586,17,7,,,17,,,58,,,,,53,10
3/8/2020 0:00,977,1002,,2908,836,15,4,,,48,,,57,,,,,46,9
3/9/2020 0:00,124,111,,829,91,0,0,,,1,,,5,,,,,37,7
3/10/2020 0:00,277,245,,1674,233,4,0,,,29,,,13,,,,,49,12
3/11/2020 0:00,314,325,,2060,241,14,2,,,16,,,27,,,,,108,11
3/12/2020 0:00,312,329,,1829,202,6,0,,,20,,,34,,,,,97,8
3/13/2020 0:00,403,408,,3905,344,14,1,,,29,,,37,,,,,30,15
3/14/2020 0:00,156,118,,579,138,1,0,,,1,,,3,,,,,15,5
3/15/2020 0:00,516,525,,2299,421,12,6,,,23,,,19,,,,,60,9
3/16/2020 0:00,290,277,,1259,180,6,0,,,11,,,19,,,,,44,7
3/17/2020 0:00,744,882,,2610,694,378,12,,,78,,,57,,,,,58,17
3/18/2020 0:00,271,248,,824,187,2,2,,,8,,,21,,,,,38,11
3/19/2020 0:00,500,512,,677,396,2,6,,,37,,,22,,,,,80,10
3/20/2020 0:00,377,174,,886,296,6,0,,,18,,,19,,,,,173,18
3/21/2020 0:00,589,579,,1200,593,25,11,,,34,,,46,,,,,95,11
3/22/2020 0:00,319,309,,400,260,3,1,,,20,,,20,,,,,185,7
3/23/2020 0:00,609,598,,810,505,7,2,,,54,,,36,,,,,232,27
3/24/2020 0:00,525,661,,1071,495,9,10,,,58,,,56,,,,,112,16
3/25/2020 0:00,1198,1382,,1530,1051,38,25,,,99,,,91,,,,,216,34
3/26/2020 0:00,591,654,,826,599,12,19,,,69,,,64,,,,,168,31
3/27/2020 0:00,661,647,,1081,552,13,11,,,63,,,46,,,,,73,16
3/28/2020 0:00,790,859,,944,827,114,11,,,54,,,64,,,,,73,29
3/29/2020 0:00,735,799,,956,556,300,4,,,40,,,36,,,,,0,24
3/30/2020 0:00,1447,1560,,2539,1306,78,23,,,108,,,133,,,,,,90
3/31/2020 0:00,452,507,,937,377,11,2,,,76,,,39,,,,,,15
4/1/2020 0:00,1236,1293,,2450,1160,212,81,,,107,,,121,,,,,,229
4/2/2020 0:00,1232,1275,,2524,1161,70,46,,,104,,,162,,,,,,33
4/3/2020 0:00,1226,1325,,2415,1054,115,27,,,88,,,104,,,,,,61
4/4/2020 0:00,525,588,,773,519,10,12,,,52,,,39,,,,,,18
4/5/2020 0:00,1552,1439,,2094,1344,707,87,,,114,,,177,,,,,,68
4/6/2020 0:00,940,1114,,1787,858,60,30,,,66,,,85,,,,,,41
4/7/2020 0:00,1679,1568,,2833,1475,3913,108,,,170,,,234,,,,,,74
4/8/2020 0:00,1160,1166,,2068,1099,1125,419,,,73,,,144,,,,,,28
4/9/2020 0:00,393,402,,1146,302,3,17,,,22,,,30,,,,,,24
4/10/2020 0:00,845,957,,2135,856,35,32,,,105,,,78,,,,,,33
4/11/2020 0:00,1340,1358,,2141,1291,87,26,,,117,,,200,,,,,,27
4/12/2020 0:00,764,835,,787,666,7,23,,,72,,,65,,,,,,22
4/13/2020 0:00,368,461,,1047,304,1,4,,,20,,,25,,,,,,14
4/14/2020 0:00,489,566,,1347,469,11,11,,,52,,,38,,,,,,5
4/15/2020 0:00,365,383,,1017,302,4,5,,,25,,,19,,,,,,18
4/16/2020 0:00,448,487,,1054,475,23,10,,,41,,,40,,,,,,25
4/17/2020 0:00,209,267,,638,205,4,1,,,12,,,22,,,,,,6
4/18/2020 0:00,1230,1239,,2075,1064,5190,19,,,93,,,144,,,,,,30
4/19/2020 0:00,1587,1576,,2229,1526,97,122,,,137,,,206,,,,,,63
4/20/2020 0:00,966,1054,,2008,851,30,35,,,100,,,123,,,,,,37
4/21/2020 0:00,912,1029,,1872,744,15,8,,,93,,,99,,,,,,26
4/22/2020 0:00,1376,1500,,2721,1265,136,160,,,147,,,191,,,,,0,44
4/23/2020 0:00,647,645,,747,584,10,16,,,77,,,63,,,,,,20
4/24/2020 0:00,628,665,,1025,599,10,13,,,44,,,64,,,,,0,18
4/25/2020 0:00,59,57,,43,45,0,0,,,0,,,9,,,,,0,1
4/26/2020 0:00,1790,1793,,2103,1677,82,133,,,125,,,223,,,,,0,41
4/27/2020 0:00,999,1057,,1770,824,139,19,,,87,,,120,,,,,0,25
4/28/2020 0:00,1438,1419,,2373,1344,55,62,,,123,,,198,,,,,0,49
4/29/2020 0:00,244,257,,275,178,4,0,,,15,,,11,,,,,0,17
4/30/2020 0:00,1055,1154,,1825,881,16,21,,,71,,,99,,,,,0,51
5/1/2020 0:00,1413,1486,,2707,1229,89,54,,,101,,,172,,,,,0,41
5/2/2020 0:00,2070,1817,,3484,1889,91,265,,,101,,,323,,,,,0,67
5/3/2020 0:00,1371,1279,,1653,1232,31,52,,,112,,,182,,,,,0,48
5/4/2020 0:00,822,835,,1552,729,6,16,,,65,,,89,,,,,0,29
5/5/2020 0:00,214,241,,425,181,3,0,,,18,,,19,,,,,0,11
5/6/2020 0:00,1282,1335,,2497,1203,28,109,,,114,,,165,,,,,0,47
5/7/2020 0:00,1474,1404,,2732,1138,26,74,,,149,,,195,,,,,0,54
5/8/2020 0:00,792,759,,1671,615,6,3,,,55,,,56,,,,,0,10
5/9/2020 0:00,1334,1333,,2582,1284,112,50,,,69,,,185,,,,,0,41
5/10/2020 0:00,299,387,,608,288,2,5,,,16,,,27,,,,,0,14
5/11/2020 0:00,639,742,,1222,529,14,14,,,99,,,44,,,,,0,24
5/12/2020 0:00,1289,1282,,2333,1288,469,28,,,147,,,136,,,,,0,30
5/13/2020 0:00,760,862,,1458,748,18,5,,,84,,,50,,,,,0,42
5/14/2020 0:00,708,714,,1268,593,29,11,,,81,,,78,,,,,0,34
5/15/2020 0:00,1224,1242,,2416,1218,16,63,,,102,,,188,,,,,0,47
5/16/2020 0:00,1939,1709,,2861,1750,119,87,,,111,,,257,,,,,0,54
5/17/2020 0:00,338,337,,219,285,8,14,,,20,,,32,,,,,0,11
5/18/2020 0:00,628,678,,948,533,19,14,,,41,,,39,,,,,0,22
5/19/2020 0:00,610,603,,811,2694,8,9,,,,,,,,,,,0,72
5/20/2020 0:00,974,1045,,1615,878,271,12,,,,,,,,,,,,24
5/21/2020 0:00,1156,1090,,1975,,53,23,,,,,,,,,,,,22
5/22/2020 0:00,1826,1624,,3543,,119,66,,,,,,,,,,,,110
5/23/2020 0:00,1916,1720,,3192,,582,52,,,,,,,,,,,,41
5/24/2020 0:00,2163,1829,,3231,,408,44,,,,,,,,,,,,47
5/25/2020 0:00,1950,1872,,2517,,161,58,,,,,,,,,,,,47
5/26/2020 0:00,1500,1451,,1984,,66,24,,,,,,,,,,,,33
5/27/2020 0:00,1662,1597,,896,,393,40,,,,,,,,,,,,75
5/28/2020 0:00,1211,1211,,565,,663,33,,,,,,,,,,,,78
5/29/2020 0:00,1740,1572,,851,,108,45,,,,,,,,,,,,59
5/30/2020 0:00,2380,2067,,1441,,84,108,,,,,,,,,,,,47
5/31/2020 0:00,2305,2049,,1267,,490,106,,,,,,,,,,,,50
6/1/2020 0:00,1048,1093,,535,,295,27,,,,,,,,,,,,36
6/2/2020 0:00,1294,1223,,2391,,3788,43,,,,,,,,,,,,42
6/3/2020 0:00,1075,1101,,468,,1427,23,,,,,,,,,,,,26
6/4/2020 0:00,1511,1472,,744,,766,45,,,,,,,,,,,,89
6/5/2020 0:00,1408,1327,,712,,520,41,,,,,,,,,,,,253
6/6/2020 0:00,2025,1793,,1014,,1477,81,,,,,,,,,,,,61
6/7/2020 0:00,2115,1838,,1081,,296,60,,,,,,,,,,,,45
